Index,coaches_School,coaches_Conference,Coach,TotalPay,Bonus,revenue_School,revenue_Conference,TotalRevenue,TotalExpenses,grad_School,grad_Conference,GSR,FGR,stadium_College,stadium_Conference,Capacity,Opened,Team,Win %,MOV,ATS +/-,institution_name,PARTIC_MEN_Football,MEN_TOTAL_ASSTCOACH_Football
394,Coastal Carolina,Sun Belt,Joe Moglia,400000,800000,Coastal Carolina,Sun Belt,37885828,37823535,Coastal Carolina University,Sun Belt Conference,79,61,Coastal Carolina,Sun Belt,15000,2003,Coastal Car,91.7,16.9,12,Coastal Carolina University,123,10
222,Colorado,Pac-12,Mike MacIntyre,2878500,2150000,Colorado,Pac-12,94935198,98413284,"University of Colorado, Boulder",Pac-12 Conference,86,58,Colorado,Pac 12,53750,1924,Colorado,66.7,-3.2,-1.3,Colorado,103,10
351,Colorado State,Mt. West,Mike Bobo,1800000,905000,Colorado State,Mt. West,56081379,54289162,Colorado State University,Mountain West Conference,75,72,Colorado State,Mountain West,41200,2017,Colorado,66.7,-3.2,-1.3,Colorado State University-Pueblo,141,21
405,Connecticut,AAC,Randy Edsall,1100000,650000,Connecticut,AAC,80900404,80814173,University of Connecticut,American Athletic Conference,88,76,Connecticut,AAC,40000,2003,,,,,University of Connecticut,100,14
291,Duke,ACC,David Cutcliffe,2540928,,Virginia Tech,ACC,96772489,93961068,Duke University,Atlantic Coast Conference,97,92,Duke,ACC,40004,1929,Duke,18.2,-13.3,-8.8,Duke University,116,9
400,East Carolina,AAC,Scottie Montgomery,1102500,850000,East Carolina,AAC,59970346,56281920,East Carolina University,American Athletic Conference,76,71,East Carolina,AAC,50000,1963,S Carolina,20,-12.5,-5.3,East Carolina University,108,14
353,Eastern Michigan,MAC,Chris Creighton,460000,395000,Eastern Michigan,MAC,30878069,30878069,Eastern Michigan University,Mid-American Conference,75,58,Eastern Michigan,MAC,30200,1969,Michigan,33.3,-6.2,-11.5,Eastern Michigan University,119,10
311,Florida,SEC,Dan Mullen,6070000,925000,Florida,SEC,159706937,141829002,University of Florida,Southeastern Conference,83,36,Florida,SEC,88548,1930,Florida,66.7,9,-2.3,University of Florida,115,10
389,Florida Atlantic,C-USA,Lane Kiffin,1000000,1150000,Florida Atlantic,C-USA,36297004,35846033,Florida Atlantic University,Conference USA,74,60,Florida Atlantic,CUSA,30000,2011,Florida,66.7,9,-2.3,Florida Atlantic University,123,10
390,Florida International,C-USA,Butch Davis,945000,550000,Florida International,C-USA,37018133,35374928,Florida International University,Conference USA,69,55,Florida International,CUSA,23500,1995,Florida,66.7,9,-2.3,Florida International University,99,10
