,coaches_School,coaches_Conference,Coach,TotalPay,Bonus,AssistantPay,revenue_School,revenue_Conference,TotalRevenue,TotalExpenses,grad_School,grad_Conference,GSR,FGR,stadium_College,stadium_Conference,Capacity,Opened,Team,Win %,MOV,ATS +/-,institution_name,city_txt,classification_name,PARTIC_MEN_Football,TOTAL_OPEXP_MENWOMEN_Football,MEN_TOTAL_HEADCOACH_Football,MEN_TOTAL_ASSTCOACH_Football,TOTAL_REV_MENWOMEN_Football,TOTAL_EXP_MENWOMEN_Football
368,Western Kentucky,C-USA,Mike Sanford Jr.,"$805,850 ","$400,000 ",$0 ,Western Kentucky,C-USA,"$30,770,123","$30,770,123",Western Kentucky University,Conference USA,64.0,46.0,Western Kentucky,CUSA,22113.0,1968.0,Kentucky,45.5%,-4.1,-0.4,Western Kentucky University,Bowling Green,NCAA Division I-FBS,127.0,2092325.0,1.0,10.0,9956826.0,9956826.0
0,Texas A&M,SEC,Jimbo Fisher,"$7,500,000 ","$1,350,000 ",$0 ,Texas A&M,SEC,"$212,748,002","$169,012,456","Texas A&M University, College Station",Southeastern Conference,73.0,55.0,Texas A&M,SEC,102733.0,1904.0,Texas A&M,90.0%,10.9,3.0,West Texas A & M University,Canyon,NCAA Division II with football,147.0,230676.0,1.0,10.0,1635128.0,1635128.0
389,Florida Atlantic,C-USA,Lane Kiffin,"$1,000,000 ","$1,150,000 ",$0 ,Florida Atlantic,C-USA,"$36,297,004","$35,846,033",Florida Atlantic University,Conference USA,74.0,60.0,Florida Atlantic,CUSA,30000.0,2011.0,Florida,66.7%,9.0,-2.3,Florida Atlantic University,Boca Raton,NCAA Division I-FBS,123.0,2149555.0,1.0,10.0,12202880.0,12202880.0
133,Texas-El Paso,C-USA,Dana Dimel,"$700,000 ","$741,665 ",$0 ,Texas-El Paso,C-USA,"$33,481,654","$32,980,563",University of Texas at El Paso,Conference USA,83.0,63.0,North Texas,CUSA,51500.0,2011.0,TX El Paso,37.5%,-8.0,3.0,The University of Texas at El Paso,El Paso,NCAA Division I-FBS,120.0,2159054.0,1.0,14.0,11831362.0,9383703.0
394,Coastal Carolina,Sun Belt,Joe Moglia,"$400,000 ","$800,000 ",$0 ,Coastal Carolina,Sun Belt,"$37,885,828","$37,823,535",Coastal Carolina University,Sun Belt Conference,79.0,61.0,Coastal Carolina,Sun Belt,15000.0,2003.0,Coastal Car,91.7%,16.9,12.0,Coastal Carolina University,Conway,NCAA Division I-FBS,123.0,1572551.0,1.0,10.0,10012266.0,10012266.0
360,South Alabama,Sun Belt,Steve Campbell,"$600,000 ","$295,000 ",$0 ,South Alabama,Sun Belt,"$33,525,272","$33,964,076",University of South Alabama,Sun Belt Conference,77.0,57.0,South Alabama,Sun Belt,40646.0,1948.0,Alabama,100.0%,29.1,7.0,University of South Alabama,Mobile,NCAA Division I-FBS,117.0,1211030.0,1.0,14.0,8761787.0,8979034.0
12,New Mexico State,Ind.,Doug Martin,"$419,640 ","$220,000 ",$0 ,New Mexico State,WAC,"$28,010,801","$28,011,103",New Mexico State University,Independent,80.0,59.0,New Mexico State,Sun Belt,30343.0,1978.0,New Mexico,28.6%,-8.7,2.4,New Mexico State University-Main Campus,Las Cruces,NCAA Division I-FBS,120.0,1453326.0,1.0,14.0,9228333.0,9228333.0
357,Middle Tennessee,C-USA,Rick Stockstill,"$803,004 ","$126,142 ",$0 ,Middle Tennessee,C-USA,"$35,834,204","$35,834,204",Middle Tennessee State University,Conference USA,95.0,70.0,Middle Tennessee,CUSA,31000.0,1933.0,Tennessee,30.0%,-8.6,-4.8,Middle Tennessee State University,Murfreesboro,NCAA Division I-FBS,131.0,2250050.0,1.0,14.0,10195755.0,10195755.0
391,Louisiana-Monroe,Sun Belt,Matt Viator,"$390,000 ","$50,000 ",$0 ,Louisiana-Monroe,Sun Belt,"$15,568,952","$16,927,856",University of Louisiana Monroe,Sun Belt Conference,85.0,68.0,Louisiana-Monroe,Sun Belt,30427.0,1978.0,LA Monroe,0.0%,-25.7,-9.2,University of Louisiana at Monroe,Monroe,NCAA Division I-FBS,122.0,1191648.0,1.0,10.0,5806764.0,5806764.0
392,Louisiana-Lafayette,Sun Belt,Billy Napier,"$850,000 ","$435,000 ",$0 ,Louisiana-Lafayette,Sun Belt,"$32,544,966","$37,104,736",University of Louisiana at Lafayette,Sun Belt Conference,75.0,62.0,Louisiana-Lafayette,Sun Belt,31000.0,1971.0,LA Lafayette,90.9%,11.6,1.4,University of Louisiana at Lafayette,Lafayette,NCAA Division I-FBS,137.0,2435928.0,1.0,15.0,11907780.0,11907780.0
390,Florida International,C-USA,Butch Davis,"$945,000 ","$550,000 ",$0 ,Florida International,C-USA,"$37,018,133","$35,374,928",Florida International University,Conference USA,69.0,55.0,Florida International,CUSA,23500.0,1995.0,Florida,66.7%,9.0,-2.3,Florida International University,Miami,NCAA Division I-FBS,99.0,2513450.0,1.0,10.0,12243022.0,12243022.0
